@relation x_features_algebra_simvec_class_kmeans1-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.Standardize

@attribute triple numeric
@attribute bgp numeric
@attribute join numeric
@attribute leftjoin numeric
@attribute union numeric
@attribute filter numeric
@attribute extend numeric
@attribute minus numeric
@attribute order numeric
@attribute project numeric
@attribute distinct numeric
@attribute group numeric
@attribute slice numeric
@attribute treesize numeric
@attribute pcs0 numeric
@attribute pcs1 numeric
@attribute pcs2 numeric
@attribute pcs3 numeric
@attribute pcs4 numeric
@attribute pcs5 numeric
@attribute pcs6 numeric
@attribute pcs7 numeric
@attribute pcs8 numeric
@attribute pcs9 numeric
@attribute time_class {0,1,2,3,4,5,6,7,8,9}

@data
1.062975,1.512147,-0.05902,2.594218,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,2.10988,-2.033574,-2.426254,-1.38351,-2.294157,-0.119278,-2.441164,-2.441511,-1.870176,-0.049862,-2.431816,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,5
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,2.707637,-0.028876,-0.199444,0.446374,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
0.152721,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,-1.232485,-1.298282,0.634045,-1.25912,0.295708,-1.304201,-1.304771,-1.279361,-0.119392,-1.328412,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,2.707637,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,2.23413,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,2.707637,-0.028876,-0.199444,-0.108128,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
0.152721,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,3.900255,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,2.661013,1.000876,-0.781873,-1.298282,4.669155,-1.25912,0.87669,-1.304201,-1.304771,-1.279361,-0.147638,-0.707746,6
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,0
0.607848,0.917593,-0.05902,1.881357,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,1.000876,-1.747471,-2.023407,-0.710992,-1.924501,0.87669,-2.035106,-2.035532,-1.541946,-0.08711,-2.037743,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
0.607848,0.917593,-0.05902,1.881357,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,2.707637,-0.028876,-0.199444,1.555378,-1.747471,-2.023407,-0.172977,-1.924501,6.105523,-2.035106,-2.035532,-1.729506,-0.133971,-1.742188,3
5.159121,5.079465,-0.05902,4.732799,3.609981,0.900228,-0.256322,-0.016667,-0.074733,-2.493649,-0.369223,-0.028876,-0.199444,4.327889,-2.761836,-3.462993,-2.896677,-3.235099,-2.046959,-3.474766,-3.47491,-2.623176,6.20781,-3.434912,0
0.152721,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,-1.908404,-2.426254,-1.38351,-2.294157,-0.119278,-2.441164,-2.441511,-1.870176,-0.160478,-2.259409,6
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.198014,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,2.707637,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,0.634045,0.293436,0.295708,0.401243,0.400338,-0.229024,-0.160478,2.395579,0
1.062975,0.917593,-0.05902,1.168497,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,1.000876,-2.033574,-2.426254,-1.38351,-2.132432,-0.119278,-2.441164,-2.441511,-1.979587,-0.133971,-2.431816,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.172562,0.326696,3
0.152721,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,3.900255,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,2.661013,1.000876,-0.781873,-1.298282,4.669155,-1.25912,0.87669,-1.304201,-1.304771,-1.279361,-0.147638,-0.707746,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
0.152721,0.32304,-0.05902,0.455637,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,2.707637,-0.028876,-0.199444,0.446374,-0.781873,-1.298282,1.979081,-1.25912,0.295708,-1.304201,-1.304771,-1.279361,-0.147638,-1.328412,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,0
0.607848,0.917593,-0.05902,1.881357,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,2.707637,-0.028876,-0.199444,1.555378,-1.747471,-2.023407,-0.172977,-1.924501,6.105523,-2.035106,-2.035532,-1.729506,-0.133971,-1.742188,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,3.900255,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,2.661013,1.000876,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
0.152721,0.32304,-0.05902,-0.257224,1.66971,-0.997208,-0.256322,-0.016667,-0.074733,-2.493649,-0.369223,-0.028876,-0.199444,-0.66263,-0.030853,0.393676,-0.172977,2.23413,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,0
0.152721,0.32304,-0.05902,-0.257224,1.66971,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,2.707637,-0.028876,-0.199444,0.446374,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
0.152721,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,3.900255,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,2.661013,1.000876,-0.781873,-1.298282,4.669155,-1.25912,0.87669,-1.304201,-1.304771,-1.279361,-0.147638,-0.707746,6
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,2.707637,-0.028876,-0.199444,0.446374,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,2.707637,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,-2.493649,-0.369223,-0.028876,-0.199444,-1.217132,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
0.607848,0.917593,-0.05902,1.168497,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,-2.493649,-0.369223,-0.028876,-0.199444,0.446374,-1.747471,-2.023407,-0.710992,-1.924501,0.87669,-2.035106,-2.035532,-1.729506,-0.147638,-2.037743,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,2.707637,-0.028876,-0.199444,0.446374,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,2.707637,-0.028876,-0.199444,0.446374,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,3.900255,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,2.661013,1.000876,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,0
0.607848,0.917593,-0.05902,1.881357,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,2.707637,-0.028876,-0.199444,1.555378,-1.747471,-2.023407,-0.172977,-1.924501,6.105523,-2.035106,-2.035532,-1.729506,-0.133971,-1.742188,3
0.607848,0.917593,-0.05902,1.881357,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,2.707637,-0.028876,-0.199444,1.555378,-1.747471,-2.023407,-0.172977,-1.924501,6.105523,-2.035106,-2.035532,-1.729506,-0.133971,-1.742188,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
0.152721,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,3.900255,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,2.661013,1.000876,-0.781873,-1.298282,4.669155,-1.25912,0.87669,-1.304201,-1.304771,-1.279361,-0.147638,-0.707746,6
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
1.062975,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,13.37723,0.249975,-0.369223,-0.028876,-0.199444,0.446374,-2.033574,-2.426254,-1.38351,-2.132432,-0.119278,-2.441164,-2.441511,-1.979587,-0.08711,-2.431816,6
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,3.900255,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,2.661013,1.000876,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,0
-0.302407,-0.271513,-0.05902,0.455637,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,0.455637,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,-0.030853,0.393676,-0.172977,2.23413,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
5.159121,5.079465,-0.05902,4.732799,3.609981,0.900228,-0.256322,-0.016667,-0.074733,-2.493649,-0.369223,-0.028876,-0.199444,4.327889,-2.761836,-3.462993,-2.896677,-3.235099,-2.064529,-3.474766,-3.47491,-2.623176,6.20781,-3.434912,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
0.152721,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,3.900255,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,2.661013,1.000876,-0.781873,-1.298282,4.669155,-1.25912,0.87669,-1.304201,-1.304771,-1.279361,-0.147638,-0.707746,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
0.152721,0.32304,-0.05902,1.168497,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,-2.493649,2.707637,-0.028876,-0.199444,0.446374,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
0.607848,0.32304,-0.05902,-0.257224,1.66971,-0.997208,-0.256322,-0.016667,-0.074733,5.737221,-0.369223,-0.028876,-0.199444,0.446374,-2.033574,-2.426254,-1.607683,-2.294157,-0.119278,-2.441164,-2.441511,-1.979587,-0.133971,-2.431816,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,3.900255,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,2.661013,1.000876,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,5
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,3.900255,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,2.661013,1.000876,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.147638,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,-2.493649,-0.369223,-0.028876,-0.199444,-1.217132,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,2.23413,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,0
0.152721,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-1.908404,-2.250008,-1.095288,-2.132432,-0.119278,-2.263513,-2.263895,-1.870176,-0.147638,-2.259409,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,-0.997208,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.66263,1.471187,0.393676,0.634045,0.293436,-0.119278,0.401243,0.400338,-0.229024,-0.160478,0.326696,0
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
-0.302407,-0.271513,-0.05902,-0.257224,-0.27056,0.900228,-0.256322,-0.016667,-0.074733,0.249975,-0.369223,-0.028876,-0.199444,-0.108128,-0.030853,0.393676,-0.172977,0.293436,-0.119278,0.401243,0.400338,1.083898,-0.172562,0.326696,3
